ENGLISH/INTERNAL,TO TRANSLATE,COMMENT/CONTEXT
Please enter a valid phone number,Please enter a valid phone number,
Please enter your first and last name.,Please enter your first and last name.,
Please fill in Line 1 of the address.,Please fill in Line 1 of the address.,
Please fill in your city.,Please fill in your city.,
Please fill in your postal code.,Please fill in your postal code.,
Please scan the QR code using a QR reader app on your device.,Please scan the QR code using a QR reader app on your device.,
Please select %d images.,Please select %d images.,/* Please select [number] images */
Please select %ld photos,Please select %ld photos,
Please select at least %d images.,Please select at least %d images.,/* Please select at least [number] images */
Please select no more than %d images.,Please select no more than %d images.,/* Please select no more than [number] images */
Please select only %ld photo,Please select only %ld photo,
Please select some images.,Please select some images.,
Please select up to %ld photos,Please select up to %ld photos,
Please zoom out or pick a higher quality image,Please zoom out or pick a higher quality image,
Postcode,Postcode,
Powered by Kite.ly,Powered by Kite.ly,
Price,Price,
PRINT AT HOME,PRINT AT HOME,
Print It Anyway,Print It Anyway,
Print order submission failed with a %lu HTTP response status code. Please try again.,Print order submission failed with a %lu HTTP response status code. Please try again.,
Print Shop,Print Shop,
Print these,Print these,
Processing,Processing,/* Processing the order */
PRODUCT OPTIONS,PRODUCT OPTIONS,
Promo Code,Promo Code,
Promotional Discount,Promotional Discount,
Quantity,Quantity,/* Quantity of photos */
Receipt,Receipt,
Recents,Recents,/* Recent photos used */
Remove?,Remove?,/* Remove [photo]? */
Required by the postal service in case there are any issues during delivery.,Required by the postal service in case there are any issues during delivery.,
Retry,Retry,
Review,Review,/* Title of a screen where the user can review the product before ordering */
Rotate,Rotate,/* Rotate image by 90 degrees */
Save,Save,
Save as Copy,Save as Copy,
Scan QR Code,Scan QR Code,
"Search by postcode, street or address","Search by postcode, street or address",
"Search by street, address or ZIP code","Search by street, address or ZIP code",
Search for Address,Search for Address,
Select Size,Select Size,/* Example: Shirt size */
Shipping,Shipping,
Shipping Method,Shipping Method,
Single Photo Poster,Single Photo Poster,
Size,Size,/* Physical size of the product */
Small,Small,
Start by tapping this button,Start by tapping this button,
Start Creating,Start Creating,/* Start Creating [your product] */
Store Maintenance,Store Maintenance,
Swipe to rotate your mug,Swipe to rotate your mug,
Tap image to change,Tap image to change,
Tap image to change or hold to move,Tap image to change or hold to move,
Tap image to edit,Tap image to edit,
Tap image to edit or hold to move,Tap image to edit or hold to move,
Tap on this button,Tap on this button,
Text Colour,Text Colour,
TEXT TOOLS,TEXT TOOLS,
There was a problem getting Print Shop products. Check your Internet connectivity or try again later.,There was a problem getting Print Shop products. Check your Internet connectivity or try again later.,
There was an error getting one of your photos. Please remove or replace it.,There was an error getting one of your photos. Please remove or replace it.,
There was an error trying to validate the card. Please try again later.,There was an error trying to validate the card. Please try again later.,
This is the 3-4 digit verification number/security code normally found on the back of your card,This is the 3-4 digit verification number/security code normally found on the back of your card,
